date;Anemone larvae;Total medusae;Total Siphonophore;Polychaete larvae unidentified;Tomopteris helgolandica;Bryozoa cyphonautes larvae;Gastropod larvae;Limacina retroversa;Bivalvia;Clione;Cephalopoda larvae;Total Echinodermata;Tornaria larvae (Hemichordata) ;Branchiostoma (Cephalochordata) ;Ascidian tadpole;Doliolida;Appendicularia;Total Fish Eggs;Fish larvae ;Cirripede nauplii;Cirripede cyprid;Evadne spp.;Podon spp.;Isopoda;Gammariida;Hyperiida;Cumacea;Mysida;Euphausiid nauplii;Euphausiid calyptopis;Euphausiid furcilia;Euphausiid adult;Total Decapoda;Metridia lucens;Total Acartia clausi;Candacia armata;Centropages chierchiae;Centropages hamatus;Total Centropages typicus ;Isias clavipes;Anomalocera patersoni;Parapontella brevicornis;Labidocera wollastoni;Total Temora longicornis;Temora stylifera;Calanoides carinatus;Total Calanus helgolandicus;Calocalanus spp.;Total Clausocalanus spp. (Calculated);Total Ctenocalanus vanus (Calculated);Total Paracalanus parvus (Calculated);Total Pseudocalanus elongatus (Calculated);Subeucalanus spp.;Microcalanus spp.;Diaixis hibernica;Paraeuchaeta hebes;Scolecithricella spp.;Oithona spp.;Oncaea spp.;Ditrichocorycaeus anglicus;Microsetella sp;Euterpina acutifrons;Goniopsyllus clausi;Harpacticoid unidentified;Siphonostomatoida;Copepod nauplii
1989-01-30;0;0;3.4;10.21;0;17.02;0;6.81;6.8;0;0;0;0;0;0;0;40.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;0;0;0;0;0;6.8;0;0;0;0;3.4;0;0;3.4;0;86.13;155.23;88.51;58.21;0;0;0;0;0;57.87;401.7;34.04;0;20.42;0;0;0;3.4
1989-02-06;0;0;10.64;7.09;0;17.73;0;3.55;10.64;0;0;3.55;0;0;0;0;42.56;7.09;3.55;7.09;0;3.55;7.09;0;0;0;0;0;0;0;0;0;28.37;0;14.18;0;0;0;3.55;0;0;0;0;31.92;0;0;10.64;0;6.56;39.54;109.75;195.22;0;0;0;0;0;148.94;141.85;60.29;0;24.82;0;0;0;7.09
1989-02-13;0;0;4.26;17.02;0;8.51;0;0;8.51;0;0;0;0;0;0;0;59.57;4.26;4.26;8.51;4.26;0;0;0;0;0;0;0;0;0;0;0;8.51;0;51.06;0;0;0;34.04;0;0;0;0;34.04;0;0;34.04;0;18.51;189.14;274.89;185.53;0;0;0;0;0;387.23;97.87;21.28;0;8.51;0;0;0;38.3
1989-02-20;0;0;0;6.81;0;20.43;0;0;0;0;0;6.81;0;0;0;0;47.66;6.81;0;0;0;13.62;6.81;0;0;0;0;0;0;0;0;0;20.43;0;115.74;0;0;0;0;0;0;0;0;27.23;0;0;13.62;0;0;69.45;138.89;254.64;0;0;0;0;0;245.11;251.91;102.13;0;6.81;0;0;0;6.81
1989-02-27;0;0;0;6.12;0;20.42;0;3.4;5.44;0;0;0;0;0;0;0;1.36;10.21;0.68;7.49;0;3.4;10.21;0;0;0;0;0;0;0;0;0;26.55;0;241.02;0;0;0;0;0;4.08;0;0;11.57;0;0;6.8;0;70.13;35.06;200.34;116.59;0;0;0;0;0;313.87;302.98;70.8;0.68;2.72;0;0;0;0
1989-03-06;0;1.36;1.36;1.36;0;2.72;6.81;6.13;0;0;0;0;0;0;0;0;14.98;1.36;1.36;24.51;0;0;0;0;0;0;0;0;0;1.36;0;0;17.7;0;86.47;0;0;0;1.36;0;0;0;0;53.11;0;0;7.49;0;0;40.85;20.43;721.7;0;0;0;0;0;125.28;503.83;11.58;0;12.26;4.09;0;0;30.64
1989-03-13;0;1.36;0;6.81;0;10.89;10.89;16.34;2.72;0;0;1.36;0;0;0;0;89.87;6.81;0;200.17;0;1.36;0;0;0;0;0;0;0;1.36;0;0;16.34;1.36;91.23;1.36;0;1.36;4.08;0;0;0;0;166.13;0;0;43.57;0;22.55;70;122.12;734.25;0;0;0;0;0;221.95;249.19;30.42;0;9.53;1.36;0;0;24.51
1989-03-20;0;2.72;0;4.08;0;28.59;0;25.87;1.36;0;0;5.44;0;0;0;0;99.4;12.25;4.08;546.04;0;16.34;0;0;0;0;0;0;0;0;0;0;6.8;0;324.08;1.36;0;0;19.06;0;0;0;0;55.83;0;0;24.51;0;0;32.55;32.55;960.42;0;0;0;0;0;64;111.66;10.89;0;25.87;4.09;0;0;50.38
1989-03-28;0;19.06;0;17.7;0;78.98;9.53;39.49;6.81;0;0;0;0;0;0;0;55.82;2.72;1.36;452.08;0;1.36;0;0;0;0;0;0;0;1.36;1.36;0;25.87;5.45;198.81;0;0;0;4.08;0;0;0;0;156.59;0;0;27.23;0;0;52.34;0;994.46;0;0;0;0;0;172.93;147.06;20.43;0;21.79;0;0;0;31.32
1989-04-03;0;6.48;0;32.42;0;106.99;3.24;25.93;0;0;0;0;0;0;0;0;87.54;3.24;0;2600;0;97.26;38.91;0;0;0;0;0;0;0;0;0;12.96;6.48;1870.71;0;0;0;84.3;0;0;0;0;285.31;0;0;61.6;0;0;330.8;521.78;3676.29;0;0;0;0;0;1150.96;389.05;74.57;0;45.39;0;0;0;42.15
1989-04-10;0;20.56;35.78;0;0;138.79;0;25.7;25.7;0;0;20.56;0;0;0;0;233.89;0;0;1742.65;15.42;29.07;1948.27;0;0;0;0;0;0;0;0;0;30.84;0;1511.32;0;0;0;205.62;0;0;0;0;1172.05;0;0;51.4;0;0;91.16;606.82;2739.75;0;0;0;0;0;1526.74;144.09;20.56;0;25.7;5.14;0;0;41.12
1989-04-17;0;8.19;21.28;19.64;0;6.55;6.55;16.37;22.91;0;0;27.82;0;0;0;0;338.78;0;0;996.73;6.55;296.23;99.84;0;0;0;0;0;0;0;0;0;13.09;0;713.58;0;0;0;88.38;0;0;0;0;968.9;0;0;57.28;0;162.62;136.66;516.37;2424.31;0;0;0;0;0;1153.84;55.64;6.55;0;6.55;0;0;0;24.55
1989-04-24;0;22.91;21.27;37.64;0;13.09;19.64;0;42.55;0;0;13.09;0;0;0;0;219.31;0;22.91;713.58;37.64;129.29;525.37;0;0;0;0;0;0;0;0;0;45.82;0;1050.74;0;0;0;58.92;0;0;0;0;1183.3;0;0;42.55;0;0;69.56;840.75;1247.56;0;0;0;0;0;2098.2;117.84;62.19;0;22.91;0;0;0;8.18
1989-05-02;0;0;23.05;0;0;3.55;3.55;0;12.41;0;0;0;0;0;0;0;124.11;0;0;14.18;3.55;99.29;136.52;0;0;0;0;0;0;0;0;0;3.55;0;171.98;0;0;0;21.28;0;0;0;0;359.93;0;0;28.37;0;15.07;138.3;230.5;538.12;0;0;0;0;0;530.14;79.79;39.01;0;0;0;0;0;0
1989-05-08;0;145.8;33.47;2.98;0;0;8.18;0;0;0;0;0;0;0;0;0;277.47;0;0;59.51;2.98;162.62;304.99;0;0;0;0;0;0;0;0;0;11.16;0;232.84;0;0;0;34.22;0;0;0;0;251.44;0;0;17.85;0;0;99.8;269.81;529.77;0;0;0;0;0;433.69;50.58;38.68;0;2.98;0;0;0;0
1989-05-17;0;40.85;125.96;15.32;0;66.38;3.4;0;3.4;8.51;0;0;8.51;0;0;0;127.08;11.91;11.91;28.93;15.32;1434.9;611.06;0;6.81;0;0;0;0;0;0;0;27.23;0;624.68;0;0;0;0;0;0;0;0;456.17;0;0;34.04;0;0;131.06;97.87;622.13;0;0;0;0;0;720;103.83;23.83;0;11.91;0;0;0;137.87
1989-05-22;0;6.95;83.4;3.48;0;0;0;3.48;0;0;0;677.67;0;0;0;0;232.84;13.9;0;0;0;1657.68;149.43;0;3.48;0;0;0;0;0;0;0;3.48;0;194.61;0;0;0;13.9;0;0;0;0;173.36;0;0;90.35;0;0;96.44;119.9;565.6;0;0;0;0;0;142.48;48.65;41.7;0;41.7;0;0;0;72.98
1989-05-31;0;156.6;88.51;15.32;0;0;3.41;3.41;0;0;0;405.11;0;0;0;0;88.52;0;0;0;0;241.71;83.4;0;0;0;0;0;0;0;0;0;6.81;0;168.51;0;0;0;44.26;0;0;0;0;73.19;0;0;129.36;0;0;0;70.47;41.87;0;0;0;0;0;34.04;39.15;64.68;0;30.64;0;0;0;97.02
1989-06-05;0;292.32;73.89;9.64;0;22.49;9.64;9.64;9.64;0;0;176.7;0;0;0;0;28.91;6.43;3.21;0;0;16.06;25.7;0;0;0;0;0;0;0;0;0;9.64;0;481.93;0;0;0;16.06;0;0;0;0;285.94;0;0;134.94;0;0;8.35;85.14;160.32;0;0;0;0;0;247.39;38.55;70.68;0;22.49;0;0;0;112.44
1989-06-12;0;55.65;45.83;0;0;3.28;0;3.28;0;0;0;3.28;0;0;0;0;162.03;11.46;0;0;0;155.49;99.84;0;0;0;0;0;0;0;0;0;36.01;0;281.51;0;0;0;29.46;0;0;0;0;770.87;0;0;314.24;0;0;0;139.03;242.31;0;0;0;0;0;353.52;63.83;108.02;0;6.55;0;0;0;63.83
1989-06-22;0;128.51;281.45;20.88;0;7.23;20.08;36.14;19.27;0;0;12.85;6.43;0;0;0;155.82;0;6.43;7.23;0;693.17;220.88;0;11.24;0;0;0;0;0;0;0;32.93;0;723.69;0;0;0;21.68;0;0;0;0;636.14;0;0;36.14;0;0;0;43.57;92.25;0;0;0;0;0;126.32;106.02;77.91;0;10.44;0;0;0;39.36
1989-06-26;0;81.83;499.18;16.37;0;8.19;0;65.47;0;0;0;49.1;8.19;0;0;0;171.85;16.37;0;8.19;0;441.9;130.93;0;0;0;0;0;0;0;0;0;32.74;0;932.9;0;0;0;24.55;0;0;0;0;613.75;0;0;81.83;0;0;0;186.58;255.32;0;0;0;0;0;122.75;24.55;106.39;0;0;0;0;0;40.92
